"MCO","PT ","PC28  ","11/13/2017","12/13/2017","12/19/2017","25","RQ"
"MCO","T  ","C28   ","11/13/2017","12/20/2017","12/26/2017","26","FS"
"MCO","PT ","PC28  ","11/13/2017","12/20/2017","12/26/2017","26","RQ"
"MCO","D  ","C25   ","11/13/2017","11/08/2017","11/14/2017","18","FS"
"MCO","PD ","PC25  ","11/13/2017","11/08/2017","11/14/2017","18","RQ"
"MCO","D  ","C25   ","11/13/2017","11/15/2017","11/21/2017","18","RQ"
"MCO","PD ","PC25  ","11/13/2017","11/15/2017","11/21/2017","18","RQ"
"MCO","D  ","C25   ","11/13/2017","11/22/2017","11/28/2017","18","RQ"
"MCO","PD ","PC25  ","11/13/2017","11/22/2017","11/28/2017","18","RQ"
"MCO","D  ","C25   ","11/13/2017","11/29/2017","12/05/2017","18","FS"
